DATE,PCU212111212111
2001-12-01,100.0
2002-01-01,103.7
2002-02-01,102.9
2002-03-01,103.7
2002-04-01,103.4
2002-05-01,103.2
2002-06-01,101.9
2002-07-01,101.5
2002-08-01,100.7
2002-09-01,100.2
2002-10-01,100.6
2002-11-01,101.0
2002-12-01,100.4
2003-01-01,100.5
2003-02-01,100.2
2003-03-01,101.6
2003-04-01,103.2
2003-05-01,102.7
2003-06-01,101.9
2003-07-01,100.9
2003-08-01,100.6
2003-09-01,101.5
2003-10-01,101.6
2003-11-01,102.0
2003-12-01,101.4
2004-01-01,103.0
2004-02-01,104.6
2004-03-01,105.0
2004-04-01,107.8
2004-05-01,107.8
2004-06-01,106.7
2004-07-01,107.0
2004-08-01,106.9
2004-09-01,108.8
2004-10-01,109.5
2004-11-01,109.1
2004-12-01,108.8
2005-01-01,110.7
2005-02-01,110.2
2005-03-01,111.5
2005-04-01,112.5
2005-05-01,111.9
2005-06-01,111.2
2005-07-01,111.0
2005-08-01,111.2
2005-09-01,111.3
2005-10-01,112.5
2005-11-01,115.0
2005-12-01,113.8
2006-01-01,115.4
2006-02-01,116.3
2006-03-01,117.8
2006-04-01,118.4
2006-05-01,118.4
2006-06-01,118.5
2006-07-01,118.0
2006-08-01,116.7
2006-09-01,116.8
2006-10-01,116.2
2006-11-01,115.7
2006-12-01,117.0
2007-01-01,117.9
2007-02-01,119.6
2007-03-01,121.5
2007-04-01,122.6
2007-05-01,119.9
2007-06-01,120.4
2007-07-01,121.5
2007-08-01,120.7
2007-09-01,121.6
2007-10-01,121.3
2007-11-01,121.6
2007-12-01,121.8
2008-01-01,130.8
2008-02-01,132.6
2008-03-01,137.5
2008-04-01,139.5
2008-05-01,140.7
2008-06-01,139.9
2008-07-01,143.3
2008-08-01,144.2
2008-09-01,144.6
2008-10-01,144.8
2008-11-01,144.8
2008-12-01,141.6
2009-01-01,148.5
2009-02-01,150.7
2009-03-01,155.1
2009-04-01,156.6
2009-05-01,148.2
2009-06-01,146.8
2009-07-01,149.6
2009-08-01,144.6
2009-09-01,146.7
2009-10-01,145.4
2009-11-01,147.1
2009-12-01,150.2
2010-01-01,153.2
2010-02-01,153.1
2010-03-01,155.6
2010-04-01,156.7
2010-05-01,157.6
2010-06-01,157.8
2010-07-01,157.1
2010-08-01,159.3
2010-09-01,157.1
2010-10-01,157.6
2010-11-01,158.6
2010-12-01,157.9
2011-01-01,164.9
2011-02-01,167.7
2011-03-01,169.7
2011-04-01,170.1
2011-05-01,169.2
2011-06-01,170.9
2011-07-01,169.6
2011-08-01,169.3
2011-09-01,168.3
2011-10-01,169.1
2011-11-01,168.0
2011-12-01,170.8
2012-01-01,175.5
2012-02-01,173.5
2012-03-01,175.4
2012-04-01,174.3
2012-05-01,177.1
2012-06-01,175.0
2012-07-01,172.5
2012-08-01,170.9
2012-09-01,173.1
2012-10-01,176.5
2012-11-01,180.2
2012-12-01,188.3
2013-01-01,188.5
2013-02-01,185.2
2013-03-01,181.3
2013-04-01,186.3
2013-05-01,190.8
2013-06-01,181.1
2013-07-01,183.1
2013-08-01,184.5
2013-09-01,182.9
2013-10-01,179.1
2013-11-01,184.4
2013-12-01,186.0
2014-01-01,189.5
2014-02-01,181.9
2014-03-01,185.1
2014-04-01,188.3
2014-05-01,189.1
2014-06-01,187.5
2014-07-01,180.6
2014-08-01,177.4
2014-09-01,179.1
2014-10-01,180.6
2014-11-01,178.3
2014-12-01,177.7
2015-01-01,181.2
2015-02-01,178.4
2015-03-01,183.5
2015-04-01,178.9
2015-05-01,183.4
2015-06-01,183.4
2015-07-01,177.4
2015-08-01,175.5
2015-09-01,178.1
2015-10-01,175.7
2015-11-01,176.1
2015-12-01,177.4
2016-01-01,174.4
2016-02-01,172.5
2016-03-01,181.6
2016-04-01,177.9
2016-05-01,187.2
2016-06-01,187.5
2016-07-01,179.6
2016-08-01,172.8
2016-09-01,172.3
2016-10-01,178.2
2016-11-01,179.4
2016-12-01,179.3
2017-01-01,181.6
2017-02-01,176.8
2017-03-01,176.1
2017-04-01,181.2
2017-05-01,177.5
2017-06-01,176.3
2017-07-01,176.1
2017-08-01,176.1
2017-09-01,177.6
2017-10-01,177.4
2017-11-01,179.2
2017-12-01,178.8
2018-01-01,177.4
2018-02-01,179.8
2018-03-01,181.5
2018-04-01,181.0
2018-05-01,182.8
2018-06-01,182.7
2018-07-01,183.2
2018-08-01,181.7
2018-09-01,182.4
2018-10-01,184.3
2018-11-01,183.3
2018-12-01,183.8
2019-01-01,182.9
2019-02-01,182.8
2019-03-01,184.9
2019-04-01,183.4
2019-05-01,180.5
2019-06-01,183.9
2019-07-01,183.7
2019-08-01,184.0
2019-09-01,183.9
2019-10-01,187.5
2019-11-01,180.2
2019-12-01,180.3
2020-01-01,179.3
2020-02-01,178.9
2020-03-01,178.9
2020-04-01,181.0
2020-05-01,180.3
2020-06-01,180.7
2020-07-01,178.7
2020-08-01,176.6
2020-09-01,178.1
2020-10-01,178.8
2020-11-01,177.7
2020-12-01,179.3
2021-01-01,179.1
2021-02-01,179.5
2021-03-01,180.3
2021-04-01,181.9
2021-05-01,181.4
2021-06-01,184.0
2021-07-01,182.8
2021-08-01,178.0
2021-09-01,178.8
